"","Year","Alcohol_Volume"
"1",1961,67703
"2",1962,69408
"3",1963,71657
"4",1964,75590
"5",1965,79674
"6",1966,80866
"7",1967,85015
"8",1968,90946
"9",1969,95782
"10",1970,101951
"11",1971,105595
"12",1972,109156
"13",1973,116682
"14",1974,126753
"15",1975,130950
"16",1976,131063
"17",1977,134990
"18",1978,136642
"19",1979,135453
"20",1980,138453
"21",1981,141099
"22",1982,145219
"23",1983,143465
"24",1984,142721
"25",1985,139701
"26",1986,144218
"27",1987,140972
"28",1988,145105
"29",1989,145800
"30",1990,145375
"31",1991,141548
"32",1992,137721
"33",1993,135329
"34",1994,140915
"35",1995,139969
"36",1996,139673
"37",1997,144181
"38",1998,148207
"39",1999,148445
"40",2000,149590
"41",2001,155234
"42",2002,154431
"43",2003,163268
"44",2004,163620
"45",2005,168526
"46",2006,171392
"47",2007,178661
"48",2008,182237
"49",2009,187976
"50",2010,189311
"51",2011,187501
"52",2012,185217
"53",2013,185909
"54",2014,186996
"55",2015,185754
"56",2016,190553
"57",2017,187570
"58",2018,191247
